shipment_id,event_time,period_date,origin_city,origin_state,destination_city,destination_state,mode,distance_km,weight_tons,sku,quantity,supplier_id,facility_id,urgent_flag
SHP_E1D51B9ECE,2026-02-24T05:49:07.406334Z,2026-02-24,Delhi,DL,Hyderabad,TS,rail,1667,17.41,SKU_MOTOR,31.33,SUP_TAT_001,FAC_MUM_01,False
SHP_63FFF11FC0,2026-02-24T05:49:09.411288Z,2026-02-24,Bengaluru,KA,Hyderabad,TS,road,570,17.64,SKU_STEEL,47.0,SUP_GUJ_003,FAC_BLR_01,False
SHP_3329A330D2,2026-02-24T05:49:11.422340Z,2026-02-24,Delhi,DL,Jaipur,RJ,road,280,10.89,SKU_MOTOR,31.33,SUP_MAH_002,FAC_MUM_01,False
SHP_E6B087C06A,2026-02-24T05:49:13.434878Z,2026-02-24,Delhi,DL,Jaipur,RJ,road,280,12.26,SKU_MOTOR,115.53,SUP_GUJ_003,FAC_CHN_01,False
SHP_ACDA295542,2026-02-24T05:49:15.445445Z,2026-02-24,Bengaluru,KA,Ahmedabad,GJ,rail,1329,4.42,SKU_MOTOR,116.01,SUP_GUJ_003,FAC_CHN_01,False
SHP_A7A7412B5C,2026-02-24T05:49:17.450511Z,2026-02-24,Bengaluru,KA,Chennai,TN,road,350,2.43,SKU_PLASTIC,38.65,SUP_TAT_001,FAC_CHN_01,False
SHP_CBF35FBFC9,2026-02-24T05:49:19.457675Z,2026-02-24,Bengaluru,KA,Ahmedabad,GJ,rail,322,4.86,SKU_BEARING,192.41,SUP_TN_004,FAC_PUNE_01,False
SHP_32C247840A,2026-02-24T05:49:21.465558Z,2026-02-24,Hyderabad,TS,Jaipur,RJ,road,1552,5.12,SKU_GEARBOX,29.39,SUP_TAT_001,FAC_PUNE_01,False
SHP_E4E4F42B4B,2026-02-24T05:49:23.472932Z,2026-02-24,Mumbai,MH,Hyderabad,TS,rail,892,12.72,SKU_PLASTIC,126.31,SUP_GUJ_003,FAC_BLR_01,False
SHP_D773717B48,2026-02-24T05:49:25.478474Z,2026-02-24,Pune,MH,Mumbai,MH,road,150,16.13,SKU_GEARBOX,115.37,SUP_GUJ_003,FAC_MUM_01,False
SHP_368B38E318,2026-02-24T05:49:27.486489Z,2026-02-24,Pune,MH,Delhi,DL,road,1420,14.68,SKU_PLASTIC,127.03,SUP_MAH_002,FAC_CHN_01,False
SHP_9BC7152F8A,2026-02-24T05:49:29.491965Z,2026-02-24,Hyderabad,TS,Ahmedabad,GJ,rail,1541,3.55,SKU_GEARBOX,34.25,SUP_TAT_001,FAC_BLR_01,True
SHP_4D255DC965,2026-02-24T05:49:31.494969Z,2026-02-24,Bengaluru,KA,Chennai,TN,rail,350,6.99,SKU_BEARING,62.0,SUP_GUJ_003,FAC_MUM_01,False
SHP_55E7BC35BF,2026-02-24T05:49:33.498378Z,2026-02-24,Delhi,DL,Hyderabad,TS,rail,1534,10.24,SKU_PLASTIC,15.04,SUP_TN_004,FAC_BLR_01,False
SHP_5117E0526B,2026-02-24T05:49:35.548518Z,2026-02-24,Pune,MH,Ahmedabad,GJ,road,601,13.38,SKU_STEEL,118.24,SUP_TN_004,FAC_PUNE_01,False
SHP_162B0E15E9,2026-02-24T05:49:37.575242Z,2026-02-24,Mumbai,MH,Ahmedabad,GJ,rail,530,4.13,SKU_MOTOR,29.31,SUP_MAH_002,FAC_BLR_01,False
SHP_02F939E3CE,2026-02-24T05:49:39.585534Z,2026-02-24,Mumbai,MH,Kolkata,WB,rail,1434,17.96,SKU_BEARING,75.03,SUP_TAT_001,FAC_PUNE_01,False
SHP_6AA968E887,2026-02-24T05:49:41.593218Z,2026-02-24,Pune,MH,Mumbai,MH,road,150,13.82,SKU_GEARBOX,79.45,SUP_MAH_002,FAC_CHN_01,False
SHP_6A80279179,2026-02-24T05:49:43.598444Z,2026-02-24,Ahmedabad,GJ,Jaipur,RJ,rail,379,17.14,SKU_PLASTIC,57.05,SUP_GUJ_003,FAC_MUM_01,False
SHP_CD45650749,2026-02-24T05:49:45.604617Z,2026-02-24,Bengaluru,KA,Delhi,DL,road,329,7.79,SKU_STEEL,189.87,SUP_MAH_002,FAC_MUM_01,False
SHP_6D70705244,2026-02-24T05:49:47.611717Z,2026-02-24,Jaipur,RJ,Hyderabad,TS,sea,1112,14.37,SKU_PLASTIC,33.45,SUP_TAT_001,FAC_BLR_01,False
SHP_F2CF0D4293,2026-02-24T05:49:49.619960Z,2026-02-24,Chennai,TN,Kolkata,WB,road,498,17.98,SKU_BEARING,186.46,SUP_TAT_001,FAC_BLR_01,False
SHP_45ECAE362B,2026-02-24T05:49:51.628677Z,2026-02-24,Mumbai,MH,Delhi,DL,road,1420,16.38,SKU_PLASTIC,137.84,SUP_GUJ_003,FAC_CHN_01,False
SHP_89CE826778,2026-02-24T05:49:53.636603Z,2026-02-24,Delhi,DL,Hyderabad,TS,road,1668,9.85,SKU_STEEL,58.55,SUP_MAH_002,FAC_MUM_01,False
SHP_E1AE16BF2C,2026-02-24T05:49:55.644998Z,2026-02-24,Bengaluru,KA,Mumbai,MH,road,985,13.21,SKU_STEEL,172.12,SUP_GUJ_003,FAC_PUNE_01,False
SHP_3E84FF9F15,2026-02-24T05:49:57.649969Z,2026-02-24,Pune,MH,Jaipur,RJ,rail,682,6.13,SKU_BEARING,23.88,SUP_GUJ_003,FAC_CHN_01,False
SHP_855255AE75,2026-02-24T05:49:59.657968Z,2026-02-24,Bengaluru,KA,Kolkata,WB,road,1558,13.11,SKU_BEARING,190.72,SUP_TAT_001,FAC_MUM_01,False
SHP_E662392042,2026-02-24T05:50:01.665226Z,2026-02-24,Pune,MH,Bengaluru,KA,rail,522,2.35,SKU_STEEL,175.13,SUP_MAH_002,FAC_PUNE_01,False
SHP_9729CDB3E7,2026-02-24T05:50:03.670822Z,2026-02-24,Pune,MH,Kolkata,WB,rail,1345,11.21,SKU_BEARING,60.92,SUP_GUJ_003,FAC_CHN_01,True
SHP_58A1F71E7E,2026-02-24T05:50:05.674676Z,2026-02-24,Jaipur,RJ,Chennai,TN,rail,1376,12.6,SKU_BEARING,48.8,SUP_MAH_002,FAC_CHN_01,False
SHP_C1FA056C5E,2026-02-24T05:50:07.689368Z,2026-02-24,Kolkata,WB,Bengaluru,KA,road,1450,14.69,SKU_GEARBOX,105.73,SUP_GUJ_003,FAC_PUNE_01,False
SHP_5BF74ABA42,2026-02-24T05:50:09.695215Z,2026-02-24,Ahmedabad,GJ,Mumbai,MH,rail,530,16.91,SKU_STEEL,195.08,SUP_TAT_001,FAC_MUM_01,False
SHP_C4F6217E1F,2026-02-24T05:50:11.702045Z,2026-02-24,Kolkata,WB,Chennai,TN,road,1695,12.94,SKU_STEEL,120.59,SUP_GUJ_003,FAC_BLR_01,False
SHP_D1A06A0691,2026-02-24T05:50:13.707248Z,2026-02-24,Ahmedabad,GJ,Bengaluru,KA,road,405,10.03,SKU_BEARING,154.73,SUP_GUJ_003,FAC_BLR_01,False
SHP_D4D4F4B2A7,2026-02-24T05:50:15.713729Z,2026-02-24,Mumbai,MH,Ahmedabad,GJ,road,530,12.32,SKU_MOTOR,164.05,SUP_GUJ_003,FAC_PUNE_01,False
SHP_E234FFAC42,2026-02-24T05:50:17.733420Z,2026-02-24,Pune,MH,Bengaluru,KA,road,876,11.31,SKU_STEEL,66.78,SUP_TAT_001,FAC_CHN_01,False
SHP_E9B2550062,2026-02-24T05:50:19.743356Z,2026-02-24,Ahmedabad,GJ,Jaipur,RJ,rail,1287,12.11,SKU_STEEL,166.58,SUP_TN_004,FAC_PUNE_01,False
SHP_0201E25D94,2026-02-24T05:50:21.748971Z,2026-02-24,Chennai,TN,Pune,MH,road,656,16.59,SKU_PLASTIC,27.79,SUP_TN_004,FAC_BLR_01,False
SHP_37CD2B4631,2026-02-24T05:50:23.764016Z,2026-02-24,Ahmedabad,GJ,Chennai,TN,road,1305,13.11,SKU_STEEL,182.93,SUP_GUJ_003,FAC_BLR_01,False
SHP_478D666F63,2026-02-24T05:50:25.781875Z,2026-02-24,Ahmedabad,GJ,Kolkata,WB,road,464,12.75,SKU_GEARBOX,175.65,SUP_TN_004,FAC_MUM_01,False
SHP_15014658AC,2026-02-24T05:50:27.790630Z,2026-02-24,Mumbai,MH,Pune,MH,sea,150,17.02,SKU_STEEL,177.46,SUP_GUJ_003,FAC_MUM_01,False
SHP_C144E9428F,2026-02-24T05:50:29.795850Z,2026-02-24,Hyderabad,TS,Ahmedabad,GJ,rail,917,5.03,SKU_STEEL,59.72,SUP_MAH_002,FAC_PUNE_01,False
SHP_7933FE34CF,2026-02-24T05:50:31.803356Z,2026-02-24,Chennai,TN,Jaipur,RJ,road,1434,13.75,SKU_STEEL,145.65,SUP_TN_004,FAC_PUNE_01,False
SHP_1E6C55F435,2026-02-24T05:50:33.811524Z,2026-02-24,Delhi,DL,Hyderabad,TS,rail,581,17.34,SKU_MOTOR,193.61,SUP_GUJ_003,FAC_CHN_01,False
SHP_FA2BFC1BA4,2026-02-24T05:50:35.817252Z,2026-02-24,Mumbai,MH,Hyderabad,TS,road,687,7.41,SKU_PLASTIC,65.75,SUP_TN_004,FAC_PUNE_01,False
SHP_150E6E2C8C,2026-02-24T05:50:37.828823Z,2026-02-24,Jaipur,RJ,Mumbai,MH,road,1203,3.76,SKU_BEARING,172.13,SUP_GUJ_003,FAC_MUM_01,False
SHP_CA962224EB,2026-02-24T05:50:39.837959Z,2026-02-24,Mumbai,MH,Chennai,TN,road,342,15.1,SKU_MOTOR,10.6,SUP_TN_004,FAC_BLR_01,False
SHP_3A155C5074,2026-02-24T05:50:41.842693Z,2026-02-24,Chennai,TN,Ahmedabad,GJ,road,1576,4.83,SKU_PLASTIC,184.53,SUP_TN_004,FAC_CHN_01,False
SHP_75E64FD0E5,2026-02-24T05:50:43.851723Z,2026-02-24,Hyderabad,TS,Jaipur,RJ,road,1259,12.76,SKU_GEARBOX,57.32,SUP_MAH_002,FAC_MUM_01,False
SHP_B53C1D6343,2026-02-24T05:50:45.855587Z,2026-02-24,Mumbai,MH,Ahmedabad,GJ,road,530,14.47,SKU_BEARING,52.15,SUP_GUJ_003,FAC_PUNE_01,True
SHP_9F2055F227,2026-02-24T05:50:47.862287Z,2026-02-24,Hyderabad,TS,Mumbai,MH,rail,1256,14.2,SKU_MOTOR,16.65,SUP_MAH_002,FAC_MUM_01,False
SHP_C1FD522C9C,2026-02-24T05:50:49.873980Z,2026-02-24,Kolkata,WB,Jaipur,RJ,rail,1378,2.67,SKU_STEEL,159.84,SUP_MAH_002,FAC_BLR_01,False
SHP_94109556F8,2026-02-24T05:50:51.883351Z,2026-02-24,Chennai,TN,Ahmedabad,GJ,air,1475,15.32,SKU_STEEL,184.44,SUP_GUJ_003,FAC_CHN_01,True
SHP_9CA18C3A34,2026-02-24T05:50:53.894797Z,2026-02-24,Pune,MH,Delhi,DL,road,1420,4.95,SKU_MOTOR,145.19,SUP_GUJ_003,FAC_MUM_01,False
SHP_964B24251C,2026-02-24T05:50:55.899796Z,2026-02-24,Hyderabad,TS,Ahmedabad,GJ,rail,687,12.48,SKU_BEARING,66.97,SUP_GUJ_003,FAC_PUNE_01,False
SHP_BEBF080D2E,2026-02-24T05:50:57.914185Z,2026-02-24,Jaipur,RJ,Pune,MH,air,442,9.84,SKU_BEARING,87.13,SUP_TN_004,FAC_PUNE_01,True
SHP_59FC087CD3,2026-02-24T05:50:59.923620Z,2026-02-24,Hyderabad,TS,Bengaluru,KA,road,570,9.98,SKU_MOTOR,119.84,SUP_TN_004,FAC_MUM_01,False
SHP_9D21D8D045,2026-02-24T05:51:01.929706Z,2026-02-24,Delhi,DL,Jaipur,RJ,rail,280,9.87,SKU_STEEL,103.5,SUP_MAH_002,FAC_MUM_01,False
SHP_80D194FDDB,2026-02-24T05:51:03.938048Z,2026-02-24,Bengaluru,KA,Pune,MH,road,1339,8.39,SKU_PLASTIC,12.54,SUP_TAT_001,FAC_PUNE_01,False
SHP_FBC2632AF5,2026-02-24T05:51:05.947977Z,2026-02-24,Delhi,DL,Pune,MH,air,1420,6.98,SKU_STEEL,113.03,SUP_GUJ_003,FAC_BLR_01,True
SHP_DEDD66808F,2026-02-24T05:51:07.967786Z,2026-02-24,Jaipur,RJ,Ahmedabad,GJ,rail,461,3.49,SKU_GEARBOX,119.5,SUP_MAH_002,FAC_PUNE_01,False
SHP_B5FDA4B82F,2026-02-24T05:51:09.978611Z,2026-02-24,Ahmedabad,GJ,Jaipur,RJ,road,1026,5.74,SKU_MOTOR,197.75,SUP_TN_004,FAC_PUNE_01,False
SHP_703A0565B5,2026-02-24T05:51:11.982249Z,2026-02-24,Jaipur,RJ,Hyderabad,TS,rail,704,16.77,SKU_PLASTIC,174.34,SUP_TN_004,FAC_PUNE_01,True
SHP_D4179A3915,2026-02-24T05:51:13.990850Z,2026-02-24,Pune,MH,Hyderabad,TS,sea,1261,5.54,SKU_GEARBOX,103.5,SUP_MAH_002,FAC_BLR_01,False
SHP_BB67538B38,2026-02-24T05:51:15.998792Z,2026-02-24,Pune,MH,Bengaluru,KA,road,1249,6.9,SKU_GEARBOX,167.46,SUP_GUJ_003,FAC_BLR_01,True
SHP_E2BA9D417A,2026-02-24T05:51:18.006861Z,2026-02-24,Mumbai,MH,Delhi,DL,road,1420,8.54,SKU_STEEL,57.6,SUP_TN_004,FAC_CHN_01,False
SHP_8938E48135,2026-02-24T05:51:20.019214Z,2026-02-24,Jaipur,RJ,Hyderabad,TS,road,993,6.63,SKU_STEEL,157.78,SUP_TAT_001,FAC_PUNE_01,False
SHP_4AF2893FDC,2026-02-24T05:51:22.029137Z,2026-02-24,Chennai,TN,Bengaluru,KA,road,350,6.89,SKU_BEARING,113.42,SUP_MAH_002,FAC_CHN_01,False
SHP_815B10BDE4,2026-02-24T05:51:24.039799Z,2026-02-24,Pune,MH,Hyderabad,TS,road,1334,16.14,SKU_GEARBOX,190.18,SUP_GUJ_003,FAC_MUM_01,False
SHP_AA8F254D9B,2026-02-24T05:51:26.049223Z,2026-02-24,Ahmedabad,GJ,Mumbai,MH,road,530,14.25,SKU_PLASTIC,14.15,SUP_GUJ_003,FAC_MUM_01,False
SHP_070C03B0FB,2026-02-24T05:51:28.054444Z,2026-02-24,Chennai,TN,Mumbai,MH,road,696,3.32,SKU_BEARING,139.87,SUP_TAT_001,FAC_BLR_01,False
SHP_4043A3FBE4,2026-02-24T05:51:30.069713Z,2026-02-24,Delhi,DL,Hyderabad,TS,sea,475,7.79,SKU_PLASTIC,146.16,SUP_MAH_002,FAC_MUM_01,False
SHP_54FF2BBAD5,2026-02-24T05:51:32.074833Z,2026-02-24,Ahmedabad,GJ,Bengaluru,KA,road,1586,2.68,SKU_STEEL,31.98,SUP_GUJ_003,FAC_MUM_01,False
SHP_7790A26C5B,2026-02-24T05:51:34.080916Z,2026-02-24,Bengaluru,KA,Mumbai,MH,road,985,3.36,SKU_STEEL,17.19,SUP_MAH_002,FAC_CHN_01,False
SHP_8D247BB93C,2026-02-24T05:51:36.089688Z,2026-02-24,Bengaluru,KA,Kolkata,WB,sea,1782,4.24,SKU_BEARING,166.31,SUP_TAT_001,FAC_BLR_01,False
SHP_E8E9E95776,2026-02-24T05:51:38.111501Z,2026-02-24,Ahmedabad,GJ,Jaipur,RJ,rail,1373,11.39,SKU_PLASTIC,61.35,SUP_GUJ_003,FAC_MUM_01,False
SHP_B4254E6B80,2026-02-24T05:51:40.118002Z,2026-02-24,Jaipur,RJ,Ahmedabad,GJ,road,925,16.73,SKU_BEARING,146.47,SUP_TN_004,FAC_CHN_01,False
SHP_F58CE9DD3C,2026-02-24T05:51:42.123465Z,2026-02-24,Bengaluru,KA,Hyderabad,TS,sea,570,5.59,SKU_PLASTIC,166.12,SUP_TAT_001,FAC_BLR_01,False
SHP_4A4DDDBC23,2026-02-24T05:51:44.132043Z,2026-02-24,Chennai,TN,Ahmedabad,GJ,road,1483,15.99,SKU_GEARBOX,154.11,SUP_TAT_001,FAC_PUNE_01,False
SHP_DB8BC7DA45,2026-02-24T05:51:46.140485Z,2026-02-24,Bengaluru,KA,Mumbai,MH,road,985,16.24,SKU_BEARING,166.11,SUP_GUJ_003,FAC_MUM_01,False
SHP_0277FD69B3,2026-02-24T05:51:48.145131Z,2026-02-24,Hyderabad,TS,Ahmedabad,GJ,road,739,2.65,SKU_PLASTIC,51.6,SUP_TN_004,FAC_BLR_01,False
SHP_ECC406A962,2026-02-24T05:51:50.151351Z,2026-02-24,Pune,MH,Mumbai,MH,rail,150,12.22,SKU_STEEL,37.5,SUP_MAH_002,FAC_CHN_01,False
SHP_48FA29949C,2026-02-24T05:51:52.158221Z,2026-02-24,Chennai,TN,Hyderabad,TS,rail,868,2.91,SKU_PLASTIC,64.29,SUP_MAH_002,FAC_MUM_01,False
SHP_367B131C40,2026-02-24T05:51:54.167352Z,2026-02-24,Jaipur,RJ,Kolkata,WB,road,1753,17.9,SKU_MOTOR,106.14,SUP_TAT_001,FAC_MUM_01,False
SHP_071781128C,2026-02-24T05:51:56.176988Z,2026-02-24,Ahmedabad,GJ,Mumbai,MH,rail,530,12.27,SKU_GEARBOX,22.6,SUP_GUJ_003,FAC_MUM_01,False
SHP_6B89D7AE44,2026-02-24T05:51:58.182139Z,2026-02-24,Bengaluru,KA,Mumbai,MH,rail,985,7.96,SKU_STEEL,10.42,SUP_MAH_002,FAC_BLR_01,False
SHP_E18BADB0DB,2026-02-24T05:52:00.187162Z,2026-02-24,Bengaluru,KA,Pune,MH,rail,1736,8.8,SKU_BEARING,47.88,SUP_MAH_002,FAC_MUM_01,False
SHP_BD5A199A19,2026-02-24T05:52:02.196013Z,2026-02-24,Hyderabad,TS,Bengaluru,KA,road,570,16.28,SKU_MOTOR,193.12,SUP_TAT_001,FAC_MUM_01,False
SHP_E7A978CC93,2026-02-24T05:52:04.201156Z,2026-02-24,Mumbai,MH,Chennai,TN,road,962,6.6,SKU_GEARBOX,154.86,SUP_TN_004,FAC_MUM_01,True
SHP_DCEBADF5A9,2026-02-24T05:52:06.205441Z,2026-02-24,Delhi,DL,Mumbai,MH,air,1420,17.12,SKU_STEEL,170.73,SUP_MAH_002,FAC_MUM_01,True
SHP_8025208F1A,2026-02-24T05:52:08.217204Z,2026-02-24,Pune,MH,Kolkata,WB,road,1434,9.17,SKU_PLASTIC,21.51,SUP_TAT_001,FAC_BLR_01,False
SHP_D6396ACA3F,2026-02-24T05:52:10.224456Z,2026-02-24,Kolkata,WB,Delhi,DL,road,1500,17.43,SKU_BEARING,34.35,SUP_TN_004,FAC_MUM_01,False
